Name,Link,Gen,Bloodline,Complete Rating,Speed Rating,Sprint Rating,Endurance Rating,Matchmaking Rating,Latest Odds,Races Ran,Win Percentage,AVG Time,Best Time,Q1 Pos x/8,Q2 Pos x/8,Q3 Pos x/8,Q4 Pos x/8
Committed Turnip,https://app.zedchampions.com/horse/4f314cc2-351f-4f71-b6e9-f98cd916411a,26,FINNEY,4.5,4.5,5,4,1203,6.6,15,33%,39.77s,38.99s,2.9,3.8,2.2,3.7
Cordial Breeze,https://app.zedchampions.com/horse/9b1e882f-e664-4bed-8815-08f056ac3fec,1,NAKAMOTO,3,-,-,-,980,224,4,0%,40.93s,40.69s,2.0,1.0,2.0,5.3
Cut Throat,https://app.zedchampions.com/horse/8048e8f0-1871-4624-9c1c-a550a2c5969b,20,NAKAMOTO,4,3.5,5,-,982,2.8,10,10%,40.38s,38.96s,2.1,2.6,4.4,4.8
Datona,https://app.zedchampions.com/horse/c7d69756-a769-4b8c-a3c1-1df5f1823aad,20,FINNEY,4,4,-,-,1001,3.7,8,13%,40.18s,39.62s,3.5,4.1,4.9,4.0
Determined Strappy,https://app.zedchampions.com/horse/a975abd9-8cf5-4f21-9725-0d0bcabd92e5,34,FINNEY,3,3,-,-,964,44,6,17%,40.79s,39.83s,5.0,5.3,7.2,5.5
Double Doc,https://app.zedchampions.com/horse/5af7e521-94e7-4657-ae94-d68758d73130,36,FINNEY,4,4,-,-,993,4.9,5,0%,40.41s,39.95s,5.2,4.4,2.6,4.4
Dr T,https://app.zedchampions.com/horse/e7fabb05-5cf7-4c90-a9a0-d790b2c895be,35,FINNEY,4.5,4.5,5,-,1143,5.1,11,27%,39.92s,38.90s,3.5,3.4,2.2,3.3
Duke Diamond,https://app.zedchampions.com/horse/cdf779d5-3a85-4071-b0a8-d5aa7fb9037e,32,SZABO,4.5,5,4.5,3.5,1406,8.6,48,25%,39.62s,38.48s,1.9,1.9,3.1,3.6
Duke of Oz,https://app.zedchampions.com/horse/fde8096a-ef2f-4e20-acef-beb781771806,34,FINNEY,3.5,4,-,-,1009,5.6,5,20%,40.76s,40.39s,6.4,5.6,5.0,4.2
Dux Radix,https://app.zedchampions.com/horse/a0cf5d21-fd10-4462-ad1f-8cee473708e0,33,SZABO,4.5,5,4.5,3.5,1107,2.95,28,18%,39.98s,38.91s,3.0,3.9,4.2,4.1
Energetic Horseradish,https://app.zedchampions.com/horse/a923c8cb-3a1f-41fc-b06e-24decb4be897,31,NAKAMOTO,4,4,-,-,965,30,5,0%,40.54s,40.22s,7.4,7.4,6.6,4.4
Engaging Einstein,https://app.zedchampions.com/horse/84ec8c2e-554e-4a3d-83ea-c92d197894ac,29,FINNEY,4.5,5,4,-,1199,6.8,13,31%,39.78s,38.99s,4.5,4.4,3.0,3.1
Faithful Vestibule,https://app.zedchampions.com/horse/78d3136f-4485-441f-a97a-e3f22aaaf1fa,34,NAKAMOTO,3.5,3.5,-,-,1048,18.5,5,20%,40.43s,40.00s,4.2,3.8,3.0,3.4
Fast Asleep,https://app.zedchampions.com/horse/df0bc7b1-a658-4023-bd37-3fb2223d40e8,30,FINNEY,4,4.5,4,2.5,1032,5.7,20,15%,40.36s,39.88s,6.5,6.8,5.4,4.2
Fisherman,https://app.zedchampions.com/horse/ee710404-337d-4301-9585-8b187951a6f4,34,SZABO,4,4,-,-,989,8,6,0%,40.45s,40.08s,4.8,5.2,3.8,4.2
Flash Dance,https://app.zedchampions.com/horse/de378108-ef1b-41aa-91f7-01cb3d179735,31,SZABO,4,3.5,-,-,1032,19,7,14%,40.45s,39.90s,7.1,5.6,5.1,3.9
Fourocious,https://app.zedchampions.com/horse/8857a9a2-fabe-41fd-b466-36bdcb083a80,27,SZABO,4,4,-,-,1047,7.4,6,33%,40.36s,39.23s,5.5,5.7,5.5,4.3
Freds Ezy Nachos 🌮,https://app.zedchampions.com/horse/1e6817ca-3e51-454c-8fe5-c2dfda3a5885,24,FINNEY,4,3.5,4.5,4,923,4.4,131,14%,40.84s,39.26s,4.7,4.7,4.2,4.6
Giggling Plinth,https://app.zedchampions.com/horse/84ae6165-c37e-4d1b-bc5f-41179d8067be,34,FINNEY,3.5,3.5,4.5,-,1012,29,10,20%,40.43s,39.69s,4.7,5.8,5.8,5.2
Graceful Stone,https://app.zedchampions.com/horse/bb26265b-4f88-43db-9bf5-31986967133d,34,SZABO,4,4,-,-,1026,5.2,6,17%,40.43s,40.10s,1.2,2.7,2.7,3.8
Guno,https://app.zedchampions.com/horse/05588566-7902-4f5b-bc3e-07f33be37f61,34,SZABO,4,4.5,-,-,982,2.65,6,0%,40.40s,39.98s,3.7,4.7,4.7,4.0
Herb Garden,https://app.zedchampions.com/horse/5cbbc2be-05af-493e-a2c7-4f0a1f2ec5ea,2,NAKAMOTO,3,3.5,-,-,990,2.1,5,20%,41.04s,40.95s,6.0,6.0,3.8,4.8
Holy Down Roll,https://app.zedchampions.com/horse/e1ca2676-a2fa-4840-8c93-a5e08b843b9d,32,NAKAMOTO,3.5,3,-,-,999,14.5,8,13%,40.46s,39.57s,5.4,5.4,5.9,5.0
Ian with an Eye,https://app.zedchampions.com/horse/eb8af7c4-57be-4008-b21c-ba00a84b1d07,34,SZABO,4,5,-,-,1043,4.8,5,20%,40.40s,39.77s,2.2,2.6,2.2,3.8
Im God,https://app.zedchampions.com/horse/95d58207-819b-4317-bb3f-12923d4cf851,26,FINNEY,4.5,4.5,5,3.5,1234,12.5,40,23%,40.14s,39.29s,4.2,4.7,5.6,4.0
Impressive Guess,https://app.zedchampions.com/horse/9f2d69ae-4604-4021-8470-fd8f077fcfd5,34,NAKAMOTO,4,-,-,-,1032,32,6,17%,40.34s,39.87s,5.7,5.3,5.8,5.0
Incubator,https://app.zedchampions.com/horse/804c04c2-814e-4eb7-b0b9-a77e390f49ab,1,NAKAMOTO,3.5,3.5,-,-,1036,32,6,33%,40.34s,39.52s,3.5,2.5,1.3,4.7
Industrious Peg,https://app.zedchampions.com/horse/258692ff-756c-4833-af54-266e1c4084a5,34,FINNEY,4,4.5,-,-,1054,2.7,5,20%,40.22s,39.40s,3.3,2.5,2.5,3.5
Jay Dubalewe,https://app.zedchampions.com/horse/05635f8c-5b23-4d36-8586-28224d1f89fc,1,BUTERIN,3,2.5,-,-,959,224,5,0%,41.27s,40.53s,6.8,7.2,7.2,5.2
Keep Up,https://app.zedchampions.com/horse/dffd9faf-9e69-4db6-946e-e430f7e6b4f7,11,FINNEY,4,3.5,4.5,-,988,3,11,9%,40.42s,39.73s,4.9,6.9,7.2,4.5
King o Tools,https://app.zedchampions.com/horse/89f9380b-d8a0-4f39-a414-93e2ad3f348b,33,NAKAMOTO,4,4.5,-,-,1025,9.8,5,0%,40.16s,39.98s,3.6,3.8,4.0,3.4
Lesgoh,https://app.zedchampions.com/horse/59c9a4d7-bdbc-41df-8943-0c01e514a97c,20,SZABO,4.5,4.5,4.5,3.5,1140,5.5,23,17%,40.17s,38.93s,1.8,1.7,2.4,3.9
Lively Applique,https://app.zedchampions.com/horse/bd2a6b4d-d5a2-4714-80fe-59f68d3558f9,1,NAKAMOTO,3,3.5,-,-,949,40,5,0%,41.01s,40.82s,1.2,3.2,4.8,5.2
Looney,https://app.zedchampions.com/horse/36996bc5-dfbb-454b-a3d1-7c2ae82dcc79,32,NAKAMOTO,3.5,3,-,-,975,23,5,20%,40.80s,40.32s,6.6,6.8,7.2,5.8
Mach Phat,https://app.zedchampions.com/horse/c67a6bff-4274-4951-9ef0-3949a3589a78,26,SZABO,4.5,4.5,-,-,1023,7.4,5,20%,40.30s,39.73s,2.0,2.8,4.0,4.0
Mandatory,https://app.zedchampions.com/horse/8376407a-0b16-4859-b9b2-42be56cacc9d,30,SZABO,4,4.5,4.5,2.5,1055,5.7,16,6%,40.20s,39.79s,5.4,5.1,5.0,3.8
McShane,https://app.zedchampions.com/horse/cf7c437f-27ee-4ed6-a73a-52ac025b1517,30,FINNEY,4,4,-,-,1018,17.5,5,20%,40.27s,39.86s,5.2,5.2,7.0,4.0
Mei Flower,https://app.zedchampions.com/horse/994b6358-6d8e-4ae2-aeda-b78876ed8030,34,NAKAMOTO,3.5,4,-,-,962,44,6,0%,40.72s,40.35s,6.3,7.0,6.5,4.8
Meksikan,https://app.zedchampions.com/horse/14d94e37-1638-4984-8864-dc6478bedf92,32,NAKAMOTO,4,4,-,-,1067,12.5,7,29%,40.30s,39.93s,2.6,3.7,4.3,3.9
Meyth,https://app.zedchampions.com/horse/5ec2772d-86fb-46e5-a893-09e822719e0c,1,NAKAMOTO,3.5,3.5,-,-,953,25,6,0%,40.85s,40.29s,6.7,6.0,5.8,5.3
Miss Lucy,https://app.zedchampions.com/horse/f4fcfa76-5def-4953-92ce-6a606e2c2c5b,34,FINNEY,4,4,-,-,1046,16.5,8,13%,40.21s,39.80s,6.1,6.5,5.0,3.5
Missy Whoops,https://app.zedchampions.com/horse/e3246533-b121-4b8a-9ef5-452ba1ff79ef,32,FINNEY,4,4.5,3.5,-,1001,16.5,11,18%,40.29s,39.69s,6.1,5.3,5.5,4.5
Mrs Breakup,https://app.zedchampions.com/horse/2baf636a-d34a-4f4d-9c65-5524d9afd31c,30,FINNEY,4.5,4.5,-,-,1081,6.8,7,29%,40.29s,39.51s,6.0,5.9,5.3,3.7
Mrs Gogo,https://app.zedchampions.com/horse/339a9891-3e81-4012-8d5b-2ac193636f1a,30,NAKAMOTO,4,4,5,-,1038,5.7,11,18%,40.34s,39.71s,3.8,4.3,3.9,4.3
Mrs Katana,https://app.zedchampions.com/horse/f2cb0c09-13ef-42a0-96b7-47134fe0b227,32,FINNEY,4,4,-,-,995,2.85,8,13%,40.28s,39.58s,3.8,4.0,2.6,4.8
Mrs Middleton,https://app.zedchampions.com/horse/c8479031-83a1-4690-9af5-445401f46fca,33,SZABO,4,4.5,-,-,1027,5,9,0%,40.27s,39.86s,3.6,2.8,4.1,3.6
Mrs Missile,https://app.zedchampions.com/horse/bb5ef2dc-f1e0-4f25-abb4-d6cb72f687b5,30,FINNEY,4,4,-,-,1008,7,5,0%,40.45s,40.01s,2.2,1.8,3.4,3.8
Mrs Oppenheimer,https://app.zedchampions.com/horse/45938ff8-486b-40aa-8f5a-5a3acd8cfbc8,30,SZABO,4,4.5,4,3,1073,8.4,15,13%,40.14s,39.47s,2.0,2.8,4.5,3.9
Niftos,https://app.zedchampions.com/horse/2c983f6a-4116-4110-b1fa-b1136cdbc08e,30,NAKAMOTO,4.5,4.5,5,3,1173,8.6,39,15%,39.92s,38.47s,4.5,4.0,5.2,4.0
Noodle Storm,https://app.zedchampions.com/horse/72454f37-eea5-448d-be78-9e047f6630d1,32,FINNEY,4,4.5,4,-,1038,13,12,17%,40.18s,39.65s,7.7,6.3,4.2,4.1
Oh For For,https://app.zedchampions.com/horse/c6171827-1845-421a-a562-271cca4ef80f,1,NAKAMOTO,4,4.5,-,-,1005,18,5,0%,40.54s,40.32s,1.8,1.0,1.2,3.6
Pentuple,https://app.zedchampions.com/horse/aed52d94-6c20-4b7e-9dc9-67c743f72415,31,NAKAMOTO,4.5,4.5,5,3,1233,11,15,27%,39.74s,38.92s,6.1,5.6,6.1,3.0
